% Model,perovskite_alpha2_45_ax260_rdisk56.mph
% Version,COMSOL 5.6.0.280
% Date,"Dec 7 2021, 08:39"
% Table,Evaluation Group 1 - 
% alpha1 (rad),fr1 (THz),freq (THz),Total reflectance (1)
0.1745329251994329,587,587,0.22133340537654864
0.1745329251994329,589,589,0.23177945522199234
0.1745329251994329,590,590,0.2399860536526777
0.1745329251994329,591,591,0.24825997028336483
0.1745329251994329,593,593,0.2614865203149825
0.1745329251994329,594,594,0.2645193143448247
0.1745329251994329,595,595,0.26314262201060146
0.1745329251994329,597,597,0.23644470960681463
0.1745329251994329,598,598,0.20723775737402958
0.1745329251994329,599,599,0.1746890144854753
0.1745329251994329,601,601,0.15323454581927703
0.1745329251994329,602,602,0.16602673848440522
0.1745329251994329,603,603,0.18354205367229967
0.1745329251994329,637,637,0.15576969470247992
0.1745329251994329,638,638,0.13137004649283565
0.1745329251994329,639,639,0.11729954860678618
0.1745329251994329,641,641,0.11976486641495142
0.1745329251994329,642,642,0.130478275027897
0.1745329251994329,643,643,0.14347857705683364
0.2094395102393195,549,549,0.4046405568237152
0.2094395102393195,550,550,0.40741855963330925
0.2094395102393195,551,551,0.40837248916101804
0.2094395102393195,553,553,0.38408613248263757
0.2094395102393195,554,554,0.3294263214325915
0.2094395102393195,555,555,0.23920353545673276
0.2094395102393195,557,557,0.21570485207558845
0.2094395102393195,558,558,0.2517160032129227
0.2094395102393195,559,559,0.281008586419648
0.2094395102393195,561,561,0.3189426234446245
0.2094395102393195,562,562,0.33159674604622913
0.2094395102393195,563,563,0.3418430535137017
0.2094395102393195,585,585,0.23447995682774
0.2094395102393195,586,586,0.22304922922636494
0.2094395102393195,587,587,0.2208585895360207
0.2094395102393195,589,589,0.23073330886389837
0.2094395102393195,590,590,0.23777392754869636
0.2094395102393195,591,591,0.2440352832673384
0.2094395102393195,593,593,0.2476360085163569
0.2094395102393195,594,594,0.23964448736345306
0.2094395102393195,595,595,0.22074067184766938
0.2094395102393195,597,597,0.16716942141509014
0.2094395102393195,598,598,0.15863291597522947
0.2094395102393195,599,599,0.16645241508848027
0.2094395102393195,601,601,0.19832115032622538
0.2094395102393195,602,602,0.213424163668238
0.2094395102393195,603,603,0.2265615447656123
0.2094395102393195,605,605,0.24768354610831902
0.2094395102393195,606,606,0.25630807752040574
0.2094395102393195,607,607,0.26610215208742166
0.2094395102393195,641,641,0.17087246956783406
0.2094395102393195,642,642,0.14783509848784318
0.2094395102393195,643,643,0.13222222292510188
0.2094395102393195,645,645,0.12655932305636125
0.2094395102393195,646,646,0.13337399851778128
0.2094395102393195,647,647,0.1434305201680532
0.2443460952792061,549,549,0.41033638735283506
0.2443460952792061,550,550,0.3995883376614462
0.2443460952792061,551,551,0.35989362395900165
0.2443460952792061,553,553,0.18014433318561127
0.2443460952792061,554,554,0.1861938392989685
0.2443460952792061,555,555,0.2266290693902407
0.2443460952792061,557,557,0.2866548325400643
0.2443460952792061,558,558,0.30493579669376125
0.2443460952792061,559,559,0.31869549360839766
0.2443460952792061,561,561,0.3383486932774123
0.2443460952792061,562,562,0.3458459109945989
0.2443460952792061,563,563,0.35239703205800826
0.2443460952792061,585,585,0.22859216755922715
